# pattern,tag,weight
.github/**,ci_cd,1.0
.github/workflows/**,ci_cd,1.0
.github/actions/**,ci_cd,1.0
.github/CODEOWNERS,ownership_policy,1.0
.github/SECURITY.md,security_policy,1.0
.pre-commit-config.yaml,security_gate,1.0
bandit.yaml,security_gate,1.0
pyproject.toml,dependency_policy,0.8
uv.lock,dependency_policy,0.8
run.sh,entrypoint,0.9
secure_run.sh,entrypoint,1.0
scripts/publish/**,publishing,1.0
scripts/runner/archive_publication.py,publishing,1.0
scripts/audit/check_tracked_all.py,confidentiality_guard,1.0
scripts/audit/check_tracked_generated_artifacts.py,artifact_guard,1.0
infrastructure/core/credentials.py,credentials,1.0
infrastructure/core/sidecar_linking.py,confidentiality_guard,1.0
infrastructure/orchestration/**,orchestration,0.9
infrastructure/project/git_guards.py,confidentiality_guard,1.0
infrastructure/project/public_scope.py,confidentiality_guard,1.0
infrastructure/publishing/**,publishing,1.0
infrastructure/rendering/**,rendering_subprocess,0.9
infrastructure/search/**,external_api,0.9
infrastructure/llm/**,external_api,0.9
infrastructure/steganography/**,provenance_crypto,1.0
