term,lemma,domains,frequency,confidence,contexts
mamba-based,mamba-based,,3,0.4,oxygen flow using **mamba-based** deep learning approach|objective present evaluate **mamba-based** deep-learning model diagnosis|data anne one **mamba-based** deep learning model
foraging,foraging,behavior_and_identity,3,0.6,climate variability benthic **foraging** marine predator bartes|underground nest **foraging** activity invasive conehead|group coordination cooperative **foraging** human mcgarvey k
single-objective,single-objective,,3,0.4,integrated quantitative **single-objective** light-sheet microscope subcellular|stability minimal phototoxicity **single-objective** light-sheet approach based|robust quantitatively calibrated **single-objective** light-sheet platform transcription
behavioral,behavioral,behavior_and_identity,12,0.7999999999999999,**behavioral** epileptic phenotype chd2-related|assessment **behavioral** clinical histological outcome|gene induce novel **behavioral** phenotype c elegans
mhc-ii,mhc-ii,,5,0.4,accelerating **mhc-ii** epitope discovery via|histocompatibility complex ii **mhc-ii** protein play essential|computational immunotherapy study **mhc-ii** antigenic epitope pose
real-world,real-world,,10,0.5,score 58246 mixing **real-world** synthetic data 10|2020 anchor framework **real-world** case study find|model output inform **real-world** decision introduce deepska
non-local,non-local,,3,0.4,mgn effectively captured **non-local** force-transmission pathway unique|plant-pollinator system incorporates **non-local** plant competition local|analysis determine condition **non-local** competition trigger vegetation
domain-specific,domain-specific,,5,0.4,data outperforming open-source **domain-specific** counterpart 20 accuracy|llama2 accuracy especially **domain-specific** strain information included|advance mechanistic interpretability **domain-specific** protein language model
high-dimensional,high-dimensional,,6,0.5,resulting formulation reduces **high-dimensional** grn dynamic effective|prior enhance bo **high-dimensional** feature costly in-context|state following possibly **high-dimensional** langevin equation discus
fine-tuning,fine-tuning,,3,0.4,laboratory mll dataset **fine-tuning** dinov3 using low-rank|class utilizing parameter-efficient **fine-tuning** 8 trainable parameter|distillation mad parameter-efficient **fine-tuning** peft validate platform
large-scale,large-scale,,8,0.5,comprehensive μfe framework **large-scale** biomechanical analysis intact|library algorithm designed **large-scale** linear elasticity system|scale result demonstrate **large-scale** experimentally informed μfe
likelihood-free,likelihood-free,,3,0.4,address challenge propose **likelihood-free** bo method bypass|setting analysis highlight **likelihood-free** method provide accurate|abc-smc offer powerful **likelihood-free** alternative requires ability
behavior,behavior,behavior_and_identity,27,0.7999999999999999,intensity modulates locomotor **behavior** predation different color|control effect hygienic **behavior** apis mellifera ristanić|temporal dynamic collective **behavior** ashraf kumar p
d-ribose-5-phosphate,d-ribose-5-phosphate,,3,0.4,ribose phosphorylation forming **d-ribose-5-phosphate** inside **d-ribose-5-phosphate** molecule|forming **d-ribose-5-phosphate** inside **d-ribose-5-phosphate** molecule cross membrane|evolution structure conversion **d-ribose-5-phosphate** complex functional molecule
label-free,label-free,,3,0.4,plasmonic metasurface real-time **label-free** analysis live cell|likelihood-only baseline offering **label-free** ood quantification workflow|dld device provide **label-free** method achieving sorting
multi-omics,multi-omics,,3,0.4,magnolol liver cancer **multi-omics** study integrating computational|ccrcc subtype defined **multi-omics** analysis associated adverse|lay groundwork flexible **multi-omics** diagnostic model
time-dependent,time-dependent,,5,0.4,combining transport driven **time-dependent** mutation rate logistic|highlight extension method **time-dependent** relaxing system focus|capture reshapes observed **time-dependent** statistic molecular count
dual-path,dual-path,,3,0.4,**dual-path** knowledge-augmented contrastive alignment|propose dkan novel **dual-path** knowledge-augmented contrastive alignment|mechanism additionally propose **dual-path** contrastive alignment module
predator-prey,predator-prey,,3,0.4,intervention necessity understanding **predator-prey** dynamic preserving ecological|previous result competitive **predator-prey** interaction hypothesize self-organized|abc-smc using python **predator-prey** dynamic hierarchical epidemic
s-eps,s-eps,,3,0.4,equal power sampling **s-eps** framework phylogenetic-free bias-correcting|source-sink dynamic applying **s-eps** 66 million sars-cov-2|importance genetic surveillance **s-eps** offering enhanced capability
r_0,r_0,,6,0.5,constant reproduction number **r_0** optimal response infectious|basic reproduction number **r_0** satisfies **r_0** 1|number **r_0** satisfies **r_0** 1 gas fixed
whole-brain,whole-brain,,4,0.4,neural computation existing **whole-brain** connectome model drosophila|steady-state theory build **whole-brain** visual function profile|visual input feature **whole-brain** connectome topology us
hd-tdcs,hd-tdcs,,4,0.4,personalized optimization pediatric **hd-tdcs** dose consistency target|direct current stimulation **hd-tdcs** dosing child remains|variation show dense **hd-tdcs** solution admit sparse
information-theoretic,information-theoretic,,3,0.4,via nonlinear prediction **information-theoretic** tool chiara barà|hob clearly identified **information-theoretic** measure prediction measure|controlled setting employ **information-theoretic** measure assess informativeness
selection,selection,,28,0.4,contrast social sexual **selection** roughgarden j|reveals behavior-specific habitat **selection** cattle farm subsidy|arises response directional **selection** experimentally evolved multicellular
time-varying,time-varying,,5,0.4,transient response elicited **time-varying** stimulus overshoot biphasic|recovering interpretable pattern **time-varying** heterozygosity|obtain explicit expression **time-varying** carrying capacity mutation
abc-smc,abc-smc,,5,0.4,easy practical guide **abc-smc** dynamical system textttpymc|sequential monte carlo **abc-smc** offer powerful likelihood-free|practical example-driven introduction **abc-smc** using python predator-prey
non-linear,non-linear,,5,0.4,ldacoop integrating **non-linear** population dynamic analysis|a0 sequentially added **non-linear** descriptor a1 irrigation-context|hcc every configuration **non-linear** contextual enrichment a1-a2
patient-specific,patient-specific,,3,0.4,framework bridge gap **patient-specific** transcriptomics de novo|dysfunction analysis exposed **patient-specific** epithelial heterogeneity stratification|brain geometry reconstructed **patient-specific** mri dti data
